node_1,node_2,node_3
1070,1959,1974
1024,1070,1974
1024,1959,1974
1024,1070,1959
72,773,19901
72,5550,19901
72,773,5550
773,5550,19901
72,2845,88014
72,156,2017
72,890,10224
72,1959,10224
72,890,1959
890,1959,10224
72,1980,2033
72,1021,2033
78,91,5787
78,210,6292
78,455,6292
78,210,455
210,455,6292
78,1219,11192
78,5883,6020
78,834,43493
78,834,6140
83,957,14353
83,210,813
83,210,886
83,210,810
83,813,886
83,810,813
83,810,886
210,813,886
210,810,813
210,810,886
810,813,886
16173,20587,32858
14606,16173,32858
14606,20867,32858
16173,20867,32858
14606,16173,20867
14606,21010,32858
16173,21010,32858
14606,16173,21010
91,1829,7827
21066,32860,249079
18793,20913,32869
6405,18793,32869
6405,20913,32869
6405,18793,20913
18793,32869,104302
5274,32869,97110
5274,6405,32869
5274,20913,32869
5274,6405,20913
5274,32869,104302
104,9196,11271
104,3081,4745
104,2869,3081
104,3081,3459
104,2869,3459
2869,3081,3459
104,3081,8149
104,3081,6903
104,3459,6903
3081,3459,6903
104,1024,8721
104,210,8721
104,210,1024
210,1024,8721
104,1643,8721
104,1024,1643
1024,1643,8721
104,4784,8721
104,210,4784
210,4784,8721
104,5564,10264
104,10264,10599
104,10315,11295
104,10622,10788
104,10285,10370
104,1070,4745
104,210,1070
104,1070,4975
104,210,4745
104,4745,4975
104,210,4975
210,1070,4745
1070,4745,4975
210,1070,4975
210,4745,4975
104,195,1070
104,195,4745
195,1070,4745
104,1070,10507
104,1070,11408
104,1070,11291
104,1070,5424
104,5424,11291
1070,5424,11291
104,1070,11310
104,773,1070
104,773,11310
773,1070,11310
104,1070,10599
104,10599,11310
1070,10599,11310
104,1070,10928
104,1070,2869
104,2869,10928
1070,2869,10928
104,1070,5038
104,1013,1070
104,210,5038
104,1013,5038
104,210,1013
210,1070,5038
1013,1070,5038
210,1013,1070
210,1013,5038
104,314,1070
104,1070,10883
104,314,773
104,314,10883
104,773,10883
314,773,1070
314,1070,10883
773,1070,10883
314,773,10883
104,1070,9469
104,314,9469
104,773,9469
314,1070,9469
773,1070,9469
314,773,9469
104,1070,11580
104,1070,11469
104,1070,10447
104,1070,138964
104,1070,5464
104,210,5464
210,1070,5464
104,1070,10986
104,1013,10986
1013,1070,10986
104,1013,4975
1013,1070,4975
210,1013,4975
104,1070,10111
104,5464,11322
104,210,11322
210,5464,11322
104,5424,10300
104,197,6729
104,5424,10317
104,10553,11351
104,210,6745
104,6745,8168
104,210,8168
210,6745,8168
104,5838,6745
104,5424,11354
104,2869,11354
104,3696,10845
104,3100,10845
104,3100,3696
3100,3696,10845
104,1643,3696
104,1643,5424
104,3696,5424
104,1024,3696
104,1024,5424
1643,3696,5424
1024,1643,3696
1024,1643,5424
1024,3696,5424
104,1013,1643
104,311,1643
104,1013,3696
104,311,3696
104,311,1013
1013,1643,3696
311,1643,3696
311,1013,1643
311,1013,3696
104,311,1024
311,1024,1643
311,1024,3696
104,1643,10239
104,3180,10928
104,3180,11291
104,3180,5424
3180,5424,11291
104,3696,8168
104,210,3696
210,3696,8168
104,3459,3696
104,311,3459
311,3459,3696
104,210,311
210,311,3696
210,1013,3696
210,311,1013
104,1064,3696
104,3696,10606
104,1064,3100
104,3100,5424
104,3100,10606
104,1064,5424
104,1064,10606
104,5424,10606
1064,3100,3696
3100,3696,5424
3100,3696,10606
1064,3696,5424
1064,3696,10606
3696,5424,10606
1064,3100,5424
1064,3100,10606
3100,5424,10606
1064,5424,10606
104,3696,10486
104,3100,10486
3100,3696,10486
104,773,11382
104,10599,11382
104,210,7811
104,922,7811
104,210,922
210,922,7811
104,7811,11335
104,922,11335
922,7811,11335
104,5115,10033
104,210,5115
104,4975,5115
104,4745,5115
210,4975,5115
210,4745,5115
4745,4975,5115
104,1013,5115
210,1013,5115
1013,4975,5115
104,10550,11409
104,922,10402
104,4260,10553
104,197,7335
104,197,5038
104,197,6903
104,197,1013
104,5038,6903
104,1013,6903
197,5038,6903
197,1013,5038
197,1013,6903
1013,5038,6903
104,197,10614
104,9234,11467
104,210,6903
210,5038,6903
210,1013,6903
104,9068,10527
104,3100,11044
104,773,10544
104,1064,10553
104,10553,10606
104,5424,10553
104,3100,10553
1064,10553,10606
1064,5424,10553
1064,3100,10553
5424,10553,10606
3100,10553,10606
3100,5424,10553
104,10507,10553
104,1064,7986
104,210,7986
104,210,331
104,331,4745
210,331,4745
104,331,773
104,331,922
104,331,9234
104,210,773
104,210,9234
104,773,922
104,773,9234
104,922,9234
210,331,773
210,331,922
210,331,9234
331,773,922
331,773,9234
331,922,9234
210,773,922
210,773,9234
210,922,9234
773,922,9234
104,195,331
195,331,4745
104,1030,9068
104,922,11698
104,2940,11698
104,773,11190
104,210,8149
104,210,9196
104,4745,9196
210,4745,9196
121,33456,295269
121,33455,33456
5768,11287,65663
17751,49281,196734
455,801,655500
455,517,655500
517,801,655500
455,517,801
455,3010,655500
517,3010,655500
455,517,3010
154,11811,11905
154,7879,11905
154,7879,11811
7879,11811,11905
154,11880,11905
154,11905,11933
154,11880,11933
11880,11905,11933
154,11883,11905
154,11905,11917
154,773,834
154,404,773
154,404,834
404,773,834
154,470,17405
154,801,17405
154,470,801
470,801,17405
154,276,7575
154,276,1274
154,276,11823
154,404,470
154,470,834
404,470,834
154,2198,11881
154,2198,11899
154,7879,11932
154,6463,11932
154,11824,11932
154,11932,19989
154,6463,11824
154,6463,19989
154,11824,19989
6463,11824,11932
6463,11932,19989
11824,11932,19989
6463,11824,19989
154,11853,11932
154,11867,11932
154,11850,11932
154,6463,11853
154,6463,11867
154,6463,11850
154,11853,11867
154,11850,11853
154,11850,11867
6463,11853,11932
6463,11867,11932
6463,11850,11932
11853,11867,11932
11850,11853,11932
11850,11867,11932
6463,11853,11867
6463,11850,11853
6463,11850,11867
11850,11853,11867
154,11878,11932
154,6463,11878
154,11853,11878
154,11867,11878
6463,11878,11932
11853,11878,11932
11867,11878,11932
6463,11853,11878
6463,11867,11878
11853,11867,11878
154,11853,19989
154,11878,19989
11853,11932,19989
11878,11932,19989
6463,11853,19989
6463,11878,19989
11853,11878,19989
154,834,6708
154,1169,7879
154,11810,21066
154,11917,21066
154,11810,11917
11810,11917,21066
154,6463,21066
154,1169,21066
154,1169,6463
1169,6463,21066
154,19989,21066
6463,19989,21066
154,1169,11853
1169,6463,11853
154,11858,11867
154,11867,11917
154,1125,1169
154,5694,11880
154,617,11810
154,617,11917
617,11810,11917
154,617,11845
154,617,1274
154,1274,11845
617,1274,11845
154,530,617
154,530,1274
530,617,1274
154,617,730
154,530,730
530,617,730
154,11810,11893
154,11850,11893
154,11900,19989
154,6463,11900
6463,11900,19989
155,204,7683
155,204,1060
155,204,17758
155,1060,7683
155,7683,17758
155,1060,17758
204,1060,7683
204,7683,17758
204,1060,17758
1060,7683,17758
155,204,27350
156,1024,11978
156,773,11978
156,5094,11978
156,773,1024
156,1024,5094
156,773,5094
773,1024,11978
1024,5094,11978
773,5094,11978
773,1024,5094
156,210,7713
1274,1948,655519
197,1274,655519
197,71284,655519
165,455,5036
165,3220,5036
165,455,3220
455,3220,5036
165,210,5049
170,9400,35561
175,210,1959
188,517,183730
197,7188,184067
197,6933,320561
197,276,7233
197,6820,7276
197,7100,7276
197,7276,7635
197,6771,7142
197,3513,71284
197,6899,71284
197,3513,6899
3513,6899,71284
197,6933,18553
197,7525,18553
197,6933,7525
6933,7525,18553
197,773,71290
197,18367,71290
197,773,18367
773,18367,71290
197,7145,71290
197,7531,9881
197,773,9881
197,3169,26780
197,7575,26780
197,3169,7575
3169,7575,26780
197,6817,6899
197,6817,7495
197,6899,7495
6817,6899,7495
197,6795,6820
197,6820,71482
197,6899,7366
197,773,7366
197,3169,7371
197,8395,72062
197,1274,6795
197,1274,3169
197,3169,6795
1274,3169,6795
197,1274,51605
197,1274,7194
197,1274,6899
197,6899,7194
1274,6899,7194
197,1274,3308
197,3308,7194
1274,3308,7194
197,1274,6813
197,6813,6899
1274,6813,6899
197,1274,7133
197,6813,7133
1274,6813,7133
197,1274,43967
197,276,1274
197,276,7133
276,1274,7133
197,1274,7142
197,3169,7142
1274,3169,7142
197,1274,3306
197,1274,7531
197,3306,7531
1274,3306,7531
197,3306,3308
1274,3306,3308
197,276,3308
276,1274,3308
197,1274,17011
197,773,17011
197,773,5915
197,3169,6933
197,276,7475
197,3169,7495
197,3306,7495
197,3169,129865
197,7100,7525
197,276,7533
197,6813,7533
197,6813,72062
197,1013,7047
197,3169,7569
197,7147,7575
197,276,7575
197,276,7644
197,6899,7138
204,7683,17822
204,1060,17822
1060,7683,17822
204,7683,17836
204,242,7683
204,7683,17791
204,242,17791
242,7683,17791
204,7683,17744
204,17744,17758
7683,17744,17758
204,1060,9348
204,1531,9553
204,1531,6694
204,1531,17791
204,859,17822
204,17744,444960
204,1060,17883
204,17744,17865
204,859,17744
204,859,27350
204,17883,27350
208,455,707
208,455,773
208,707,773
455,707,773
208,455,820
208,707,820
455,707,820
208,455,517
208,517,707
455,517,707
210,2057,8496
210,3696,8214
210,8214,8459
210,2823,8249
210,957,8256
210,1024,8363
210,8363,8706
210,8363,8387
210,8387,8706
8363,8387,8706
210,8365,9287
210,797,6318
210,8372,8641
210,875,8372
210,318,8372
210,318,875
318,875,8372
210,1025,8381
210,4745,6443
210,6443,7921
210,1025,6445
210,6445,7921
210,1025,7921
1025,6445,7921
210,8377,8515
210,331,5890
210,773,5890
210,922,5890
331,773,5890
331,922,5890
773,922,5890
210,8533,9162
210,5464,8551
210,2429,9025
210,1244,8580
210,404,9116
210,404,455
210,404,470
210,404,1177
210,455,9116
210,470,9116
210,1177,9116
210,455,470
210,455,1177
210,470,1177
404,455,9116
404,470,9116
404,1177,9116
404,455,470
404,455,1177
404,470,1177
455,470,9116
455,1177,9116
470,1177,9116
455,470,1177
210,404,797
210,404,1999
210,797,1999
404,797,1999
210,404,7992
210,404,773
210,773,7992
404,773,7992
210,404,8269
210,404,17405
210,8269,17405
404,8269,17405
210,404,9193
210,1177,9193
210,455,9193
404,1177,9193
404,455,9193
455,1177,9193
210,1024,8657
210,773,8669
210,5206,8669
210,4975,6648
210,5890,6671
210,249,6671
210,1710,6671
210,249,5890
210,1710,5890
210,249,1710
249,5890,6671
1710,5890,6671
249,1710,6671
249,1710,5890
210,922,6671
922,5890,6671
210,1024,6671
210,1024,1710
210,249,1024
1024,1710,6671
249,1024,6671
249,1024,1710
210,2823,8721
210,1024,2823
1024,2823,8721
210,1244,6690
210,6752,8071
210,5564,8830
210,2845,8831
210,773,8831
210,773,2845
773,2845,8831
210,470,8866
210,1244,74439
210,9063,27359
210,8387,8936
210,1157,8936
210,1065,4944
210,4944,9068
210,1065,9068
1065,4944,9068
210,9059,17405
210,1065,4975
210,4975,8505
210,1065,8505
1065,4975,8505
210,1070,8505
1070,4975,8505
210,8269,9074
210,9074,17405
8269,9074,17405
210,9086,23155
210,773,9103
210,1936,9145
210,957,44522
210,957,6020
210,455,957
210,6020,44522
210,455,44522
210,455,6020
957,6020,44522
455,957,44522
455,957,6020
455,6020,44522
210,3010,71284
210,455,1071
210,1024,1071
210,455,1024
455,1024,1071
210,249,1087
210,1025,1087
210,249,1025
249,1025,1087
210,773,9287
210,9287,15948
210,773,15948
773,9287,15948
210,8019,9287
210,1244,8016
210,6723,27891
210,5464,7371
210,1959,15948
210,1025,15948
210,249,15948
210,1025,1959
210,249,1959
1025,1959,15948
249,1959,15948
249,1025,15948
249,1025,1959
210,1974,15948
210,1959,1974
1959,1974,15948
210,5717,8111
210,3696,9110
210,311,9110
311,3696,9110
210,3696,5206
210,2823,3696
210,5206,9110
210,2823,9110
210,2823,5206
3696,5206,9110
2823,3696,9110
2823,3696,5206
2823,5206,9110
210,1959,3696
210,1959,9110
1959,3696,9110
210,3696,8840
210,311,8840
311,3696,8840
210,1938,7794
210,1707,8044
210,6903,7911
210,773,7921
210,2086,7921
210,773,2086
773,2086,7921
210,7977,8170
210,7986,8840
210,5094,7986
210,1042,8013
210,773,3949
210,773,651129
210,1934,651129
210,773,1934
210,1999,651129
210,773,1999
210,8074,8090
210,8111,23155
210,1974,5890
210,1070,1974
210,1024,1974
210,1070,1959
210,1024,1959
210,1024,1070
210,249,8149
210,455,8170
210,1024,8170
455,1024,8170
455,773,655585
455,9193,655585
773,9193,655585
455,773,9193
455,4719,655585
455,881,655585
881,9193,655585
455,881,9193
773,11978,655585
242,21632,21633
242,21633,27416
242,1999,21633
242,21633,29528
242,8170,21633
242,7142,7683
242,276,21632
242,276,7142
249,9469,23424
249,7561,17405
249,470,7561
249,470,17405
470,7561,17405
249,17405,50600
249,455,50600
249,8706,50600
249,22737,50600
249,455,17405
249,8706,17405
249,17405,22737
249,455,8706
249,455,22737
249,8706,22737
455,17405,50600
8706,17405,50600
17405,22737,50600
455,8706,50600
455,22737,50600
8706,22737,50600
455,8706,17405
455,17405,22737
8706,17405,22737
455,8706,22737
249,811,50600
249,811,17405
249,455,811
249,811,22737
811,17405,50600
455,811,50600
811,22737,50600
455,811,17405
811,17405,22737
455,811,22737
249,314,1707
249,314,9469
249,1707,9469
314,1707,9469
249,14267,22749
249,8659,24021
249,5157,22749
249,455,23397
249,9469,15948
249,1959,9469
1959,9469,15948
255,404,811
255,811,1180
255,811,1959
255,404,1180
255,404,1959
255,1180,1959
404,811,1180
811,1180,1959
404,1180,1959
255,811,823
255,811,27977
255,404,823
255,404,27977
255,823,27977
404,811,823
404,811,27977
811,823,27977
404,823,27977
255,823,1959
811,823,1959
404,823,1959
267,11861,20985
517,1274,33038
276,22748,35333
276,519,3406
276,5768,24092
276,455,35371
276,11823,25514
276,7142,35383
276,811,35394
276,1274,35404
276,5768,35416
276,1274,13917
276,7575,35451
276,5768,35464
276,13738,35464
276,5768,13738
5768,13738,35464
276,455,35464
276,27307,35472
276,517,21661
276,1274,35510
276,3797,17290
276,1274,19688
276,1274,24390
276,517,12088
276,20012,61316
276,404,517
276,404,811
276,404,5768
276,517,811
276,517,5768
276,811,5768
404,517,811
404,517,5768
404,811,5768
517,811,5768
276,404,866
276,517,866
276,811,866
404,517,866
404,811,866
517,811,866
276,404,23098
276,404,7142
276,5768,7142
276,811,7142
404,5768,7142
404,811,7142
811,5768,7142
276,404,8269
276,5768,8269
404,5768,8269
276,404,10985
276,404,1529
276,1529,10985
404,1529,10985
276,404,22785
276,404,455
276,455,22785
404,455,22785
276,306,404
276,404,17379
276,7575,24540
291,519,811
291,519,773
291,519,17405
291,519,1024
291,773,811
291,811,17405
291,811,1024
291,773,17405
291,773,1024
291,1024,17405
519,773,811
519,811,17405
519,811,1024
519,773,17405
519,773,1024
519,1024,17405
773,811,17405
773,811,1024
811,1024,17405
773,1024,17405
291,404,16385
291,404,773
291,404,455
291,404,730
291,773,16385
291,455,16385
291,730,16385
291,455,773
291,730,773
291,455,730
404,773,16385
404,455,16385
404,730,16385
404,455,773
404,730,773
404,455,730
455,773,16385
730,773,16385
455,730,16385
455,730,773
291,404,8706
291,8706,16385
291,773,8706
291,455,8706
404,8706,16385
404,773,8706
404,455,8706
773,8706,16385
455,8706,16385
455,773,8706
291,404,1959
291,1959,16385
291,773,1959
291,1959,8706
404,1959,16385
404,1959,8706
773,1959,16385
1959,8706,16385
773,1959,8706
291,404,17379
291,8706,17379
404,8706,17379
291,404,17413
291,730,17413
291,455,17413
404,730,17413
404,455,17413
455,730,17413
291,404,2117
291,404,5206
291,730,2117
291,2117,5206
291,730,5206
404,730,2117
404,2117,5206
404,730,5206
730,2117,5206
291,404,17349
291,730,17349
404,730,17349
291,8706,17349
404,8706,17349
291,404,17342
291,8706,17342
404,8706,17342
291,404,760
291,760,8706
291,455,760
404,760,8706
404,455,760
455,760,8706
291,455,27423
291,1999,11707
291,455,11707
291,455,1999
455,1999,11707
291,8706,85968
291,730,5341
291,455,5341
455,730,5341
291,1999,5341
455,1999,5341
306,404,9193
306,404,730
306,730,21590
314,455,517
314,517,811
314,517,730
314,517,1180
314,455,811
314,455,730
314,455,1180
314,730,811
314,811,1180
314,730,1180
455,517,811
455,517,730
455,517,1180
517,730,811
517,811,1180
517,730,1180
455,730,811
455,811,1180
455,730,1180
730,811,1180
314,517,881
314,455,881
314,730,881
314,881,1180
455,517,881
517,730,881
517,881,1180
455,730,881
455,881,1180
730,881,1180
314,517,16116
314,811,16116
517,811,16116
314,517,707
314,707,16116
517,707,16116
314,455,773
314,730,773
314,773,811
314,773,1180
455,773,811
455,773,1180
730,773,811
730,773,1180
773,811,1180
314,773,11949
314,811,11949
314,1180,11949
773,811,11949
773,1180,11949
811,1180,11949
314,773,16949
314,773,9110
314,730,9110
314,811,9110
730,773,9110
730,811,9110
314,707,773
314,707,9110
707,773,9110
314,3696,9110
314,707,3696
707,3696,9110
314,2845,9517
314,1070,1707
1070,1707,9469
314,730,2117
314,866,22105
314,455,22105
314,707,22105
314,455,707
455,707,22105
314,1180,22105
455,1180,22105
314,990,3696
314,3173,3696
314,707,3173
707,3173,3696
314,730,14458
13025,18173,65880
349,617,3231
349,730,3231
349,617,730
617,730,3231
349,3231,5564
349,617,5564
617,3231,5564
349,866,3231
349,617,866
617,866,3231
311,349,21817
349,617,11845
1060,17822,295269
32127,32618,33133
6463,32127,33133
21066,33133,73198
21066,33133,72915
21066,21203,33133
6463,21066,33133
21203,32618,33133
32618,33133,208703
6463,18106,33133
376,517,12244
376,517,14820
376,517,13040
376,517,17405
376,517,16475
376,16475,17405
517,16475,17405
3888,33165,37380
404,5825,16385
404,3100,16385
404,730,5825
404,3100,5825
404,730,3100
730,5825,16385
3100,5825,16385
730,3100,16385
730,3100,5825
404,16385,23177
404,470,16385
404,1959,23177
404,470,1959
404,8706,23177
404,470,23177
404,470,8706
1959,16385,23177
470,1959,16385
8706,16385,23177
470,16385,23177
470,8706,16385
1959,8706,23177
470,1959,23177
470,1959,8706
470,8706,23177
404,1180,16385
404,16385,22684
404,1959,3100
404,1959,22684
404,1180,3100
404,1180,22684
404,3100,22684
1180,1959,16385
1959,3100,16385
1959,16385,22684
1180,3100,16385
1180,16385,22684
3100,16385,22684
1180,1959,3100
1180,1959,22684
1959,3100,22684
1180,3100,22684
404,3504,16385
404,1959,3504
404,773,1180
404,1180,3504
404,773,3100
404,3100,3504
404,773,3504
1959,3504,16385
773,1180,16385
1180,3504,16385
773,3100,16385
3100,3504,16385
773,3504,16385
773,1180,1959
1180,1959,3504
773,1959,3100
1959,3100,3504
773,1959,3504
773,1180,3100
1180,3100,3504
773,1180,3504
773,3100,3504
404,1180,8706
404,3100,8706
1180,8706,16385
3100,8706,16385
1180,1959,8706
1959,3100,8706
1180,3100,8706
773,1180,8706
773,3100,8706
404,470,1180
404,470,3504
470,1180,16385
470,3504,16385
470,1180,1959
470,1959,3504
470,1180,3504
470,1180,8706
404,470,22684
470,16385,22684
470,1959,22684
470,1180,22684
404,455,1180
404,730,1180
455,1180,16385
730,1180,16385
455,1180,8706
404,517,16385
404,455,517
404,517,730
404,517,1180
455,517,16385
517,730,16385
517,1180,16385
404,455,23177
455,470,16385
455,16385,23177
455,470,8706
455,470,23177
455,8706,23177
404,2123,16385
404,455,2123
404,470,2123
404,2123,8706
455,2123,16385
470,2123,16385
2123,8706,16385
455,470,2123
455,2123,8706
470,2123,8706
455,470,1180
404,455,22684
455,16385,22684
455,470,22684
455,1180,22684
404,13738,16385
404,13738,22684
13738,16385,22684
730,773,3100
730,1180,3100
404,820,16385
404,820,3100
820,3100,16385
404,707,2123
404,470,707
404,455,707
470,707,2123
455,707,2123
455,470,707
404,2123,7694
404,823,2123
404,470,7694
404,470,823
404,455,7694
404,455,823
404,823,7694
404,7694,8706
404,823,8706
470,2123,7694
470,823,2123
455,2123,7694
455,823,2123
823,2123,7694
2123,7694,8706
823,2123,8706
455,470,7694
455,470,823
470,823,7694
470,7694,8706
470,823,8706
455,823,7694
455,7694,8706
455,823,8706
823,7694,8706
404,2123,5768
404,2123,11287
404,470,5768
404,470,11287
404,5768,11287
404,5768,7694
404,5768,8706
404,7694,11287
404,8706,11287
470,2123,5768
470,2123,11287
2123,5768,11287
2123,5768,7694
2123,5768,8706
2123,7694,11287
2123,8706,11287
470,5768,11287
470,5768,7694
470,5768,8706
470,7694,11287
470,8706,11287
5768,7694,11287
5768,8706,11287
5768,7694,8706
7694,8706,11287
404,8269,27977
404,8269,11287
404,5768,27977
404,11287,27977
5768,8269,27977
8269,11287,27977
5768,8269,11287
5768,11287,27977
404,22622,27977
404,11287,22630
404,8706,22634
404,823,22634
404,1959,22634
823,8706,22634
1959,8706,22634
823,1959,22634
823,1959,8706
404,22634,22959
404,8706,22959
8706,22634,22959
404,22639,27977
404,823,22639
823,22639,27977
404,470,22640
404,823,22640
404,22640,27977
404,470,27977
470,823,22640
470,22640,27977
823,22640,27977
470,823,27977
404,470,6290
404,6290,6711
404,470,6711
470,6290,6711
404,5768,22684
404,11287,22684
404,1959,5768
404,1959,11287
470,5768,22684
470,11287,22684
1959,5768,22684
1959,11287,22684
5768,11287,22684
470,1959,5768
470,1959,11287
1959,5768,11287
404,9292,22684
404,470,9292
404,1959,9292
470,9292,22684
1959,9292,22684
470,1959,9292
404,1605,22684
404,470,1605
404,455,1605
470,1605,22684
455,1605,22684
455,470,1605
404,22684,27977
470,22684,27977
5768,22684,27977
11287,22684,27977
470,5768,27977
470,11287,27977
404,22684,22997
404,470,22997
470,22684,22997
404,3100,27977
3100,22684,27977
404,3100,9292
3100,9292,22684
1959,3100,9292
404,1605,3100
1605,3100,22684
404,22684,22814
404,8706,22686
404,5768,22686
404,11287,22686
5768,8706,22686
8706,11287,22686
5768,11287,22686
404,823,22686
823,8706,22686
404,773,16544
404,10599,16544
404,470,22692
404,823,22692
470,823,22692
404,773,22699
404,6711,22699
404,8706,22711
404,730,22714
404,823,22714
404,730,823
730,823,22714
404,470,22714
404,866,22714
404,9292,22714
404,470,866
404,866,9292
470,866,22714
470,9292,22714
866,9292,22714
470,866,9292
404,730,22728
404,1183,22728
404,730,1183
730,1183,22728
404,22750,27977
404,823,22750
404,10599,22750
404,10599,27977
404,823,10599
823,22750,27977
10599,22750,27977
823,10599,22750
823,10599,27977
404,1959,22750
404,773,22750
404,773,823
823,1959,22750
773,1959,22750
773,823,22750
773,823,1959
404,1959,10599
1959,10599,22750
823,1959,10599
404,730,22762
404,730,22785
455,730,22785
404,823,22792
404,8706,22808
404,22808,23044
404,22808,27977
404,823,22808
404,8706,23044
404,8706,27977
404,23044,27977
404,823,23044
8706,22808,23044
8706,22808,27977
823,8706,22808
22808,23044,27977
823,22808,23044
823,22808,27977
8706,23044,27977
823,8706,23044
823,8706,27977
823,23044,27977
404,11287,22808
404,11287,23044
8706,11287,22808
11287,22808,23044
11287,22808,27977
8706,11287,23044
8706,11287,27977
11287,23044,27977
404,8706,22832
404,22832,23224
404,22832,27977
404,8706,23224
404,23224,27977
8706,22832,23224
8706,22832,27977
22832,23224,27977
8706,23224,27977
404,470,22832
404,5768,22832
404,11287,22832
470,8706,22832
5768,8706,22832
8706,11287,22832
470,5768,22832
470,11287,22832
470,22832,27977
5768,11287,22832
5768,22832,27977
11287,22832,27977
470,8706,27977
5768,8706,27977
404,1959,22832
1959,8706,22832
470,1959,22832
1959,5768,22832
1959,11287,22832
1959,5768,8706
1959,8706,11287
404,823,22832
823,8706,22832
470,823,22832
823,22832,27977
823,1959,22832
470,823,1959
404,22832,22959
8706,22832,22959
404,10553,27977
404,10553,11287
10553,11287,27977
404,3100,10553
3100,10553,27977
404,10553,10599
10553,10599,27977
404,2050,22854
404,823,22854
404,470,22854
404,823,2050
404,470,2050
823,2050,22854
470,2050,22854
470,823,22854
470,823,2050
404,8706,22854
404,22854,23225
404,5768,22854
404,8706,23225
404,470,23225
404,5768,23225
8706,22854,23225
470,8706,22854
5768,8706,22854
470,22854,23225
5768,22854,23225
470,5768,22854
470,8706,23225
5768,8706,23225
470,5768,23225
404,823,23225
823,8706,22854
823,22854,23225
823,8706,23225
470,823,23225
404,22725,22854
404,8706,22725
8706,22725,22854
404,22854,23140
404,5768,23140
404,23140,23225
5768,22854,23140
22854,23140,23225
5768,23140,23225
404,1934,22854
404,823,1934
404,470,1934
823,1934,22854
470,1934,22854
470,823,1934
404,866,22860
404,773,22860
404,9110,22866
404,22866,27977
404,22682,22866
404,9110,27977
404,9110,22682
404,22682,27977
9110,22866,27977
9110,22682,22866
22682,22866,27977
9110,22682,27977
404,1183,22866
404,1183,9110
1183,9110,22866
404,823,22866
404,823,22682
823,22866,27977
823,22682,22866
823,22682,27977
404,823,1183
823,1183,22866
404,22874,27977
404,11287,22874
11287,22874,27977
404,823,22874
823,22874,27977
404,773,22899
404,10599,22899
404,470,22917
404,823,22917
470,823,22917
404,8706,22918
404,823,22918
823,8706,22918
404,8706,22919
404,5768,22919
404,11287,22919
404,22919,27977
5768,8706,22919
8706,11287,22919
8706,22919,27977
5768,11287,22919
5768,22919,27977
11287,22919,27977
404,8706,22924
404,22927,23224
404,823,22927
